ability	(noun) ken
able	to vi ken
above	(noun) sewi
absence	(noun) weka
absent	(modifier) weka
accident	(noun) pakala
act	(vi) pali
active	(modifier) pali
activity	(noun) pali
adult	(noun/adjective combination) jan suli
adventure	v/mod pali suli
ago	(modifier) pini
air	(noun) kon
airplane	(noun/adjective combination) tomo tawa kon
all	(modifier) ale, ali
allow	(vt) ken
also	(modifier) kin
area	outdoor (noun) ma
alcohol	telo nasa
alter	(vt) ante
amphibian	(noun) akesi
amount	(noun) mute
amuse	(vt) musi
and	conj en
animal	(noun) soweli
another	(modifier) sin
ante	contr or else
anybody	(noun) jan
anything	(noun) ale, ali, ijo
argument	(noun) utala
arm	(noun) luka
arrival	(noun) kama
arrive	(vi) kama
art	(noun) musi
artful	(modifier) musi
as	(prep) sama
attack	(noun, vt) utala
auditory	(modifier) kute
awake	(vi) lon
away	(modifier) weka
back	(noun, modifier) monsi
bad	(modifier, noun) ike, (vt) to make bad, vi to be bad
ball	(noun) sike
bark	(noun) selo
bathroom	(noun/adjective combination)  tomo telo
battle	(noun) utala
be	(vi) lon (to be in, at, on)
be	prep lon (in, at, on)
beach	(noun/adjective combination) poka telo
because	of prep tan
become	(vi) kama
bed	(noun) ape selo
beer	(noun/adjective combination) telo nasa tan pan (telo nasa is alcohol, pan is bread)
beginning	(noun) kama
behind	(noun) monsi
being	(noun) jan
belonging	to sep pi
below	(noun) anpa
beneath	(noun) anpa
big	(modifier) suli
bird	(noun) waso
black	(modifier) pimeja
blue	(modifier) lasso
blunder	(noun) pakala
boat	(noun/adjective combination) tomo tawa telo
body	(noun)  sijelo
botch	(vt) pakala
bottom	(noun) anpa
bowl	(noun) poki
box	(noun) poki
branch	(noun) palisa
break	(noun) pan
break	(vt) pakala
bread	pan (unofficial, found at http://tokipona.net/tp/GlossAnything.aspx)
bring	about (vt) kama
bug	(noun) pipi
build	(vt) pali
building	(noun) tomo
bump	(noun) nena
but	conj taso
butt	(noun) monsi
button	(noun) nena
by	prep tan
can	(vi) ken
candy	(noun) suwi
car	(noun/adjective combination) tomo tawa
card	(noun) lipu
capital	(noun) mani
catergorize	v/mod lon poki
cause	(vt) pana
cause	(noun) tan
center	(noun) insa
cereal	(noun) pan
chain	(noun) linja
chair	(noun) supa
chance	(noun) kama
change	(vt) ante
chat	(vi) toki
chest	(noun) sinpin
child	(noun/adjective combination) jan lili
chill	(vt) lete
circle	(noun) sike
close	(vt) pini
cloth	(noun) len
clothing	(noun) len
cold	(noun, modifier) lete
color	(noun/vt) kule
colorful	(modifier) kule
coming	(modifier) kama
communal	(modifier) kulupu
communicate	(vi) toki
communication	(noun) toki
community	(noun) kulupu
company		(noun) kulupu
compete		against (vt) utala
competition	(noun) utala
complete	(modifier) ale, ali
completed	(modifier) pini
computer	(noun)/mod ilo sona
confident	(modifier) wawa
conflict	(noun) utala
consume	(vt) moku
contain	(vt) jo
container	(noun) poki
control	(vt) lawa
cook	(vt) seli
cooked	(modifier) seli
cool	interj pona
cool	down (vt) lete
cord	(noun) linja
correct	(modifier) pona
country	(noun) ma
crazy	(modifier) nasa
create	(vt) pali
cup	(noun) poki
currency	(noun) mani
custom	(noun) nasin
cut	(vt) tu
cute	(modifier) suwi
cute	animal noise (noun) mu
cycle	(noun) sike
cyclical	(modifier) sike
damage	(noun, vt) pakala
damn	interj pakala
dark	(modifier) pimeja
darken	(vt) pimeja
darkness	(noun) pimeja
day		tenpo suno
dead	(vi, modifier) moli
deadly	(modifier) moli
death	(noun) moli
deed	(noun) pali
delicious	(noun/adjective combination) pona moku
desire	(noun) wile
destruction	(noun) pakala
device	(noun) ilo
die	(vi) moli
difference	(noun) ante
different	(modifier) ante
dirt	(noun) jaki
dirty	(modifier, vt) jaki
disharmony	(noun) utala
displace	(vt) tawa
divide	in two (vt) tu
do	(vt) pali
doctrine	(noun) nasin
dollar	(noun) mani
domestic	(modifier) tomo
done	(modifier) pini
door	(noun) lupa
double	(vt) tu
down	(modifier) anpa
draw	(vt) sitelen
dream	lukin lape
drink	(vt) moku
drive	crazy (vt) nasa
drunk	(modifier) nasa
duo	(noun) tu
duration	(noun) tenpo
earth	(noun) ma
east	 poka pi kama suno
eat	(vt) moku
element	(noun) wan
elevated	(modifier) sewi
emit	(vt) pana
emotion	(noun) pilin
empower	(vt) wawa
enable	(vt) ken
end	(noun) pini
enemy	(noun/adjective combination) jan ike
energetic	(modifier) wawa
energize	(vt) wawa
energy	(noun) wawa
enlarge	(vt) suli
entertain	(vt) musi
entertainment	(noun) musi
equal	(modifier) sama
erotic	(modifier) unpa
ethereal	(modifier) kon
even	(modifier) kin
event	(noun) kama   
every	(modifier) ale, ali
everything	(noun) ale, ali
evil	(modifier, noun) ike
exchange	(noun) pana
exist	(vi) lon
eye	(noun) oko
fabric	(noun) len
face	(noun) sinpin
fall	v/mod kama anpa
fatal	(modifier) moli
father	(noun) mama
fear	v/mod pilin ike
feel	v pilin
feelings	(noun) pilin
female	(noun), mod meli
fence	(noun) sinpin (wall)
few	(modifier) lili
fierce	(modifier) wawa
fight	(noun) utala
filthy	(modifier) jaki
finish	(vt) pini
finished	(modifier) pini
fire	(noun) seli
fish	(noun) kala
fix	(vt) pona
flashlight	(noun/adjective combination)  ilo suno
floor	(noun) anpa
floor	(noun) supa
food	(noun) moku
foolish	(modifier) nasa
foot	(noun) noka
for	prep tawa
forest	(noun/adjective combination) ma kasi
formal	(modifier) sewi
fresh	(modifier) sin
freshen	(vt) sin
friend	(noun/adjective combination) jan pona
from	prep tan
front	(noun) sinpin
fruit	(noun) kili
fun	(noun), mod, vi musi
function	(vi) pali
furniture	(noun) supa
future	(modifier) kama
game	(noun) musi
garbage	(noun) jaki
gaseous	(modifier) kon
geology	(noun) ma sona
get	kama jo (kama + infinitive)
get	rid of (vt) weka
girl	(noun) meli lili
give	(vt) pala
giving	(noun) pala
glass	(noun) poki
God	(noun/adjective combination) jan sewi
good	(noun), mod, interj pona
go	to vi tawa
grain	(noun) pan
grass	(noun/adjective combination) kasi anpa
great	interj pona
gross	(modifier) jaki
group	(noun) kulupu
gum	(noun) ko
hair	(noun) linja
hand	(noun) luka
happen	(vi) kama
happening	(noun) kama
happy	(noun) pilin pona
happy	birthday  ni li tenpo suno pona sina
hard	(modifier) kiwen
have	(vt) jo
have	to (vt) wile
having	(noun) jo
he	(noun) ona
head	(noun) lawa
hear	(vt) kute
hearing	(modifier) kute
heart	(noun) pilin
heat	(noun), (vt) seli
hello	interj toki
help	v/mod pana e pona
her	(modifier) ona
hey	interj o
hi	interj toki
high	(noun) sewi
hill	(noun) nena
hip	(noun) poka
his	(modifier) ona
hit	(vt) utala
hole	(noun) lupa
home	(noun) tomo
horizontal	surface (noun) supa
hot	(vt) seli
house	(noun) tomo
household	(modifier) tomo
how	 nasin seme (what way)
human	(noun), mod jan
humanize	(vt) jan
husband	(noun) mije
I	(noun) mi
image	(noun) sitelen
important	(modifier) suli
improve	(vt) pona
indoor	constructed space (noun) tomo
injest	(vt) moku
injure	(vt) pakala
inner	(modifier) insa
in	order to prep tawa
insect	(noun) pipi
inside	(noun) insa
intelligence	(noun) sona
intense	(modifier) wawa
internal	(modifier) insa
internet	(noun)/mod ilo sona kulupu
it	(noun) ona
its	(modifier) ona
juice	(noun) telo
keep	(vt) awen
kill	(vt) moli
know	(vt), vi sona
know	how to (vt) sona
knowledge	(noun) sona
land	(noun) ma
language	(noun) toki
lead	(vt) lawa
leader	(noun/adjective combination) jan lawa
lengthen	(vt) suli
learn	v kama sona
leading	(modifier) lawa
leaf	(noun) lipu kasi
leave	(vi) tawa
left	(modifier) luka ike
leg	(noun) noka
less	(modifier) lili
lessen	(vt) lili
light	color mod walo
lightness	(noun) walo
light	green mod jelo
like	prep sama
listen	(vt) kute
little	(modifier) lili
life	(noun) ale, ali
light	(noun) suno
liquid	(noun) telo
long	(modifier) suli
look	at (vt) lukin
love	(noun), vt, mod olin (a person not a thing)
low	(modifier) anpa
lunar	(modifier) mun
machine	(noun) ilo
main	(modifier) lawa
make	(vt) pali
make	good (vt) pona
male	(noun), mod mije
mammal	(noun) soweli
man	(noun) mije
manage	to vi kama
manner	(noun) nasin
many	(modifier) mute
maybe	v/separator ken la
meal	(noun) moku
meat	(noun) soweli
metal	(noun) kiwen
method	(noun) nasin
mind	(noun) lawa
mineral	(noun) kiwen
missing	(modifier) weka
mobile	(modifier) tawa
modify	(vt) ante
moment	(noun) tenpo
money	(noun) mani
moon	(noun) mun
more	(modifier) mute
more	(modifier) sin
mother	(noun) mama
mountain	(noun) nesa
mouth	(noun) uta
move	(vi), (vt) tawa
movement	(noun) tawa
moving	(modifier) tawa
much	(modifier) mute
must	(vt) wile
my	(modifier) mi
name	(noun) nimi
necessary	(modifier) wile
need	(vt, noun) wile
negative	(modifier) ike
neighboring	(modifier) poka
new	(modifier) sin
next	to (noun) poka
nice	(modifier) pona
night	tenpo pimeja
no	(modifier) ala
noise	(noun, vi) kalama
none	(modifier) ala
nose	(noun) nesa
not	(modifier) ala
nothing	(noun) ala
number	(noun) nampa
numerous	(modifier) mute
object	(noun) ijo
obtain	kama jo
of	sep pi
OK	(interj) pona
on	(noun) sewi
one	(modifier) wan
only	(modifier) taso
open	(vt) open
operating	(modifier) pali
or	(conj) anu
oral	(modifier) uta
orifice	(noun) lupa
origin	(noun) tan
otherwise	cont ante
our	(modifier) mi
outside	(noun) selo
over	(noun) sewi
paint	(noun)/vt kule
pair	(noun) tu
page	(noun) lipu
paper	(noun) lipu
parent	(noun) mama
past	(modifier) pini
pasta	(noun) pan
paste	(noun) ko
part	(noun) wan
particle	(noun) wan
path	(noun) nasin
people	(noun) jan, kulupu
permanent	(modifier) awen
period	of time (noun) tenpo
permission	(noun) ken
permit	(vt) ken
person	(noun) jan
personalize	(vt) jan
personify	(vt) jan
personal	(modifier) jan
physical	state (noun) sijelo
picture	(noun) sitelen
piece	(noun) wan
pillow	(noun) supa
place	(vt) pana
plant	(noun) kasi
play	(vi) musi
playing	(noun) musi
peel	(noun)  selo
pollute	(vt) jaki
pollution	(noun) jaki
positive	(modifier) pona
positivity	(noun) pona
possibility	(noun) ken
possible	(vi) ken
powder	(noun) ko
power	(noun) wawa
pray	v/mod toki sewi (say religiously)
present	(vi) lon
pretty	(noun/adjective combination) pona lukin
promise	v/mod toki awen (say permanently)
project	(noun) pali
public	(modifier) kulupu
put	(vt) pana
quantity	(noun) mute
read	(vt) lukin
real	(vi) lon
rear	(noun), mod monsi
receive	kama jo
recreation	(noun) musi
recreational	(modifier) musi
red	(modifier) loje
reduce	(vt) lili
release	(vt) pana
religious	(modifier) sewi
remaining	(modifier) awen
remove	(vt) weka
reptile	(noun) akesi
remain	(vi) awen
renew	(vt) sin
renovate	(vt) sin
repair	(vt) pona
rest	(vi) lape
restaurant	(noun) moku tomo
rice	(noun) pan
right	(modifier) pona
road	(noun) nasin
rock	(noun) kiwen
rod	(noun) palisa
room	(noun) tomo
rope	(noun) linja
round	(modifier) sike
ruin	(vt) pakala
rule	(vt) lawa
sailboat	(noun/adjective combination) tomo tawa telo kon
same	(modifier) sama
sauce	(noun) telo
say	(vt) toki
seem	(prep) sama
sense	(vt) pilin
send	(vt) pana
separate	(vt) tu
several	(modifier) mute
sex	(noun, vi, vt) unpa
sexual	(modifier) unpa
sexuality	(noun) unpa
shadows	(noun) pimeja
shape	(noun) selo
shared	(modifier) kulupu
she	(noun) ona
shell	(noun) selo
shorten	(vt) lili
should	(vt) wile
shrink	(vt) lili
side	(noun) poka
silly	(modifier) nasa
similar	(modifier) sama
simple	(modifier) pona
since	(prep) tan
simplicity	(noun) pona
situation	(noun) tenpo
size	(noun) suli
skin	(noun) selo
sleep	(vi) lape
sleeping	(modifier) lape
small	(modifier) lili
smell	(noun) kon
smile	 pali e sinpin pona
society	(noun) kulupu
soldier	(noun/adjective combination) jan utala
sole	(modifier) taso
solid	(modifier) kiwen
somebody	(noun) jan
something	(noun) ijo, of something mod ijo
sound	(noun, vt) kalama
soul	(noun) kon
speach	(noun) toki
sphere	(noun) sike
spider	(noun) pipi
square	 selo pi poka tu tu
stairs	(noun/modifier) nasin pi supa mute
start	to (vi) kama
stationary	(modifier) awen
stay	(vi) awen
steer	(vt) lawa
stick	(noun) palisa
stomach	(noun) insa
stone	(noun) kiwen
strange	(modifier) nasa
strength	(noun) wawa
strengthen	(vt) wawa
strike	(vt) utala
string	(noun) linja
strong	(modifier) wawa
study	(v) kama sona
stuff	(noun) ijo
stupid	(modifier) nasa
summon	(vt) kama
sun	(noun) suno
superior	(modifier) sewi
sure	(modifier) wawa
surface	(noun) selo
swallow	(vt) moku
swamp	(noun/adjective combination) ma telo
sweet	(noun, modifier) suwi
sweeten	(vt) suwi
system	(noun) nasin
take	kama jo
tall	(modifier) suli
talk	(vi) toki
talking	(noun), mod toki
teach	(v) pana sona
thanks	(interj) pona
that	(modifier) ni
their	(modifier) ona
they	(noun) ona
they	(noun/adjective combination) ona mute
think	(vt) pilin
this	(modifier) ni
throw	away (vt) weka
ticket	(noun) lipu
time	(noun) tenpo
tip	(noun) pini
to	(prep) tawa
too	(modifier) kin
tool	(noun) ilo
top	(noun) sewi
torso	(noun) sinpin
touch	(vt) pilin
towards	(prep) tawa
town	(noun/adjective combination) ma tomo
transportation	(noun) tawa
transfer	(noun) pana
travel	(vi) tawa
tree	(noun) kasi
true	(vi) lon
try	to (verb/modifier) kama lon
turn	off (vt) pini
turn	on (vt) open
two	(modifier) tu
ugly	(noun/adjective combination) ike lukin
uncooked	(modifier) lete
under	(noun) anpa
understand	(vt, vi) sona
understanding	(noun) sona
universe	(noun) ale, ali
unit	(noun) wan
unite	(vt) wan
until	(prep) tawa
up	(noun) sewi
urban	(modifier) tomo
us	(noun/adjective combination) mi mute
use	(vt) kepeken
vehicle	(noun) tomo tawa
vegetable	(noun) kili
verbal	(modifier) toki
very	(modifier) mute
violence	(noun) utala
voice	(noun) kalama
wait	(vi) awen
walk	(vi) tawa
wall	(noun) sinpin
war	(noun) utala
